OrganismRowID,OrganismCodeMaster,CommonNameMaster,OrganismCodeSTN,FieldNameSTN,OrganismCodeMWT,FieldNameMWT,OrganismSymbol,Active,CommonName,Phylum,Class,Order,Family,Genus,Species
33,2694,California grunion,,,108,,,TRUE,,,,,,,
34,3005,California halibut,107,,78,CHALIBUT,,TRUE,California Halibut,Chordata,NA,NA,Bothidae,Paralichthys,californicus
35,1525,California lizardfish,,,,,,TRUE,,,,,,,
36,7052,California roach,148,,,,,TRUE,California Roach,Chordata,NA,NA,NA,Hesperoleucus,symmetricus
37,223,California skate,137,,60,CALSKATE,,TRUE,California Skate,Chordata,NA,NA,Rajidae,Raja,inornata
38,3201,California tonguefish,139,,77,CATONGUE,,TRUE,California Tonguefish,Chordata,NA,NA,Cynoglossidae,Symphurus,atricauda
39,5625,Cancer magister,182,DUNGEN,,,,TRUE,Dungeness crab,Arthropoda,NA,NA,NA,Cancer,magister
40,,catfish (Unid),7,CATFISH,,,ICT,TRUE,Catfish (Unid),Chordata,NA,NA,Ictaluridae,NA,NA
41,2870,chameleon goby,58,CAMLGOBY,92,CAMLGOBY,CG,TRUE,Chameleon Goby,Chordata,NA,NA,Gobiidae,Tridentiger,trigonocephalus
42,7104,channel catfish,9,CHANLCAT,4,CHANLCAT,CHC,TRUE,Channel Catfish,Chordata,NA,NA,Ictaluridae,Ictalurus,punctatus
43,2881,cheekspot goby,70,CHEKGOBY,75,CHKSGOBY,CSG,TRUE,Cheekspot Goby,Chordata,NA,NA,Gobiidae,Ilypnus,gilberti
44,1105,Chinook salmon,15,CHINSALM,9,CHINSALM,CS,TRUE,Chinook Salmon,Chordata,NA,NA,Salmonidae,Oncorhynchus,tshawytscha
45,2762,clinid (Unid),,,,,,TRUE,,,,,,,
46,3122,C-O sole,,,,,,TRUE,,,,,,,
47,1103,coho salmon,146,,,,,TRUE,Coho Salmon,Chordata,NA,NA,NA,Oncorhynchus,kisutch
48,7064,common carp,26,CARP,3,CARP,CP,TRUE,Carp,Chordata,NA,NA,Cyprinidae,Cyprinus,carpio
49,5126,Crangon spp.,110,,22,CRGSHRMP,CRA,TRUE,Crangon,Arthropoda,NA,NA,Caridae,Crangon,spp.
50,3123,curlfin sole,,,,,,TRUE,,,,,,,
51,1208,delta smelt,3,DLTASMLT,24,DLTASMLT,DS,TRUE,Delta Smelt,Chordata,NA,NA,Osmeridae,Hypomesus,transpacificus
52,3106,diamond turbot,108,,82,DIATURBT,,TRUE,Diamond Turbot,Chordata,NA,NA,Pleuronectidae,Hypsopsetta,guttulata
53,3110,Dover sole,,,,,,TRUE,,,,,,,
54,2114,dwarf perch,125,,50,DWFPERCH,,TRUE,Dwarf Surfperch,Chordata,NA,NA,Embiotocidae,Micrometrus,minimus
55,3120,English sole,120,,83,ENGLSOLE,,TRUE,English Sole,Chordata,NA,NA,Pleuronectidae,Pleuronectes,vetulus
56,1207,eulachon,,,,,,TRUE,,,,,,,
57,5101,Exopalaemon modestus,156,,103,,EXO,TRUE,Siberian prawn,Arthropoda,NA,NA,Palaemonidae,Exopalaemon,modestus
58,7062,fathead minnow,147,,,,,TRUE,Fathead minnow,Chordata,NA,NA,NA,Pimephales,promelas
